City,Date,PM2.5,PM10,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket,Year,Month,City_encoded,PM25_roll3,PM10_roll3,AQI_lag1,AQI_roll3,DayOfWeek
Bengaluru,2015-03-23,65.65,70.46,3.1,26.35,17.45,9.95,6.3,72.84,154.0,Moderate,2015,3,0,53.873333333333335,70.46,120.0,121.66666666666667,0
Bengaluru,2015-03-24,60.47,70.46,5.39,29.87,20.88,1.46,6.07,64.12,119.0,Moderate,2015,3,0,57.833333333333336,70.46,154.0,131.0,1
Bengaluru,2015-03-25,62.56,70.46,3.16,23.57,16.39,10.05,4.98,82.34,232.0,Poor,2015,3,0,62.89333333333334,70.46,119.0,168.33333333333334,2
Bengaluru,2015-03-26,60.73,70.46,4.16,32.07,21.03,1.44,1.67,67.21,132.0,Moderate,2015,3,0,61.25333333333333,70.46,232.0,161.0,3
Bengaluru,2015-03-27,42.1,70.46,4.01,25.55,17.37,2.85,2.46,51.93,123.0,Moderate,2015,3,0,55.129999999999995,70.46,132.0,162.33333333333334,4
Bengaluru,2015-03-28,40.0,70.46,2.93,17.99,11.36,8.07,2.5,44.65,152.0,Moderate,2015,3,0,47.60999999999999,70.46,123.0,135.66666666666666,5
Bengaluru,2015-03-29,32.16,70.46,2.38,12.9,8.3,8.53,2.08,56.31,143.0,Moderate,2015,3,0,38.086666666666666,70.46,152.0,139.33333333333334,6
Bengaluru,2015-03-30,30.78,70.46,2.68,16.23,14.63,1.46,2.63,49.52,80.0,Satisfactory,2015,3,0,34.31333333333333,70.46,143.0,125.0,0
Bengaluru,2015-03-31,38.99,70.46,2.6,10.97,12.7,1.79,2.79,47.67,90.0,Satisfactory,2015,3,0,33.97666666666667,70.46,80.0,104.33333333333333,1
Bengaluru,2015-04-01,36.42,70.46,2.68,8.83,9.13,9.6,3.17,48.25,151.0,Moderate,2015,4,0,35.39666666666667,70.46,90.0,107.0,2
Bengaluru,2015-04-02,38.15,70.46,4.24,10.29,9.99,4.06,7.65,53.26,123.0,Moderate,2015,4,0,37.85333333333333,70.46,151.0,121.33333333333333,3
Bengaluru,2015-04-03,35.11,70.46,2.63,5.99,6.82,5.34,2.32,57.75,178.0,Moderate,2015,4,0,36.559999999999995,70.46,123.0,150.66666666666666,4
Bengaluru,2015-04-04,36.68,70.46,3.63,12.89,10.88,1.47,3.29,76.36,101.0,Moderate,2015,4,0,36.64666666666667,70.46,178.0,134.0,5
Bengaluru,2015-04-05,36.92,70.46,2.2,9.0,7.6,9.58,4.07,65.62,160.0,Moderate,2015,4,0,36.23666666666667,70.46,101.0,146.33333333333334,6
Bengaluru,2015-04-06,31.78,70.46,2.48,8.14,8.06,0.55,7.22,54.31,71.0,Satisfactory,2015,4,0,35.126666666666665,70.46,160.0,110.66666666666667,0
Bengaluru,2015-04-07,37.25,70.46,2.86,7.14,11.25,2.3,5.88,60.42,76.0,Satisfactory,2015,4,0,35.31666666666666,70.46,71.0,102.33333333333333,1
Bengaluru,2015-04-08,29.8,70.46,2.59,9.04,7.52,6.84,1.84,49.55,153.0,Moderate,2015,4,0,32.943333333333335,70.46,76.0,100.0,2
Bengaluru,2015-04-09,25.06,70.46,3.21,8.72,7.2,5.82,2.6,42.63,80.0,Satisfactory,2015,4,0,30.703333333333337,70.46,153.0,103.0,3
Bengaluru,2015-04-10,24.4,70.46,6.87,7.46,8.7,5.19,2.03,44.47,129.0,Moderate,2015,4,0,26.419999999999998,70.46,80.0,120.66666666666667,4
Bengaluru,2015-04-11,32.08,70.46,6.6,7.09,8.82,1.7,3.22,53.91,107.0,Moderate,2015,4,0,27.179999999999996,70.46,129.0,105.33333333333333,5
